Pointing RA(Hrs Min Sec),Pointing Dec(Deg Min Sec),pos_x(Km),pos_y(Km),pos_z(Km),vel_x(Km/s),vel_y(Km/s),vel_z(Km/s),DateTime,Spacecraft Roll(Deg),quat0,quat1,quat2,quat3
22 31 33.7,-10 53 48.7,2348.03552776963,-1470.91268178301,6597.0336960995,3.86721534497944,-5.80061703685099,-2.65079464399489,2017-10-11T18:05:45.054,-40.31224,-0.3195732832,0.1532381326,-0.1470429748,0.923455118
22 33 0.4,-10 25 32.2,4321.30624695483,-5096.72477743218,2577.99547110335,0.8172755840383,-2.80017982779765,-6.86466584214009,2017-10-11T18:19:00.054,-40.43567,-0.321913749,0.1485809535,-0.1454880387,0.923649538
22 33 2.3,-10 17 11.9,4383.5321795937,-5380.75038402784,1771.59869826621,0.273572079570146,-2.14615254896331,-7.137940395855,2017-10-11T18:20:55.055,-40.4343,-0.3221639991,0.147450611,-0.1458546817,0.9236855996
22 33 3.8,-10 08 54.3,4382.89740416155,-5587.61236438317,939.746606376679,-0.274242549970488,-1.461072500772,-7.30863247726753,2017-10-11T18:22:50.054,-40.43296,-0.3224137723,0.1463200599,-0.1462211162,0.9237202957
22 33 6.3,-10 00 32.9,4319.4097535779,-5714.35004932395,94.3698978770003,-0.81766583740442,-0.755147520089111,-7.3746666306121,2017-10-11T18:24:45.055,-40.43163,-0.322663039,0.1451892853,-0.1465873271,0.9237536415
22 32 8.9,-9 00 28.2,2338.90407441128,-4393.326018428,-5150.31245112069,-3.86758213125222,3.87108986575515,-5.06247706598509,2017-10-11T18:38:00.054,-41.97184,-0.3365304768,0.1399624795,-0.149766624,0.9190906924
22 31 44.0,-8 55 23.9,1878.21531915991,-3917.14832373211,-5693.49280592967,-4.13089811352628,4.38952730283037,-4.38551840702537,2017-10-11T18:39:55.054,-41.98821,-0.3366859555,0.1396203637,-0.1508512497,0.918908386
22 31 19.1,-8 50 20.4,1390.67593405676,-3384.97324626085,-6155.07178141811,-4.33504488040503,4.84488179990558,-3.64590335477004,2017-10-11T18:41:50.054,-42.00442,-0.3368409574,0.1392780542,-0.1519356817,0.9187248455
22 30 54.0,-8 45 16.3,883.259378609652,-2804.4217561051,-6528.47180257051,-4.47722206728089,5.23088018250794,-2.85426880818,2017-10-11T18:43:45.055,-42.02047,-0.3369955122,0.138935551,-0.1530199051,0.9185400623
22 18 6.6,-14 24 21.1,920.716578859383,545.53565035754,7072.26552273787,4.48621705128346,-5.95919495589213,-0.109845596994739,2017-10-11T21:21:00.054,-39.12253,-0.2979557812,0.188478604,-0.1650975645,0.9211085509
22 18 29.4,-14 26 19.6,1428.60763135338,-142.199925878259,7007.97934885548,4.34020275631613,-5.98507292925149,-0.990507113580126,2017-10-11T21:22:55.054,-39.09905,-0.2978538871,0.1884525567,-0.1642719507,0.9212944274
22 18 52.2,-14 28 16.2,1916.05150794418,-827.902023993072,6843.1290779908,4.13215851768221,-5.92548248339338,-1.85754601004487,2017-10-11T21:24:50.054,-39.07551,-0.2977517545,0.1884263605,-0.1634462029,0.9214796461
22 19 15.0,-14 30 13.1,2376.07274895749,-1501.75489709292,6580.082053114,3.86477230599186,-5.78068045885709,-2.6974396544951,2017-10-11T21:26:45.054,-39.05191,-0.2976494133,0.1884000301,-0.1626203507,0.9216641888
22 20 35.8,-13 59 8.0,4338.52376757762,-5103.78304453363,2534.35563971315,0.793695866851934,-2.76176043710729,-6.88258120360016,2017-10-11T21:40:00.054,-39.05948,-0.2993718386,0.1833601594,-0.1615732908,0.9223066876
22 20 35.6,-13 48 41.1,4397.95548808008,-5383.50536142521,1726.22485732127,0.247972142166337,-2.10729353178491,-7.15027545226505,2017-10-11T21:41:55.055,-39.06151,-0.2997528911,0.1819887161,-0.1621095687,0.9223604497
22 20 35.1,-13 38 11.7,4394.31723931031,-5586.01816654807,893.289699578178,-0.301733831759296,-1.42193802212313,-7.315289249125,2017-10-11T21:43:50.054,-39.06355,-0.3001332879,0.1806168556,-0.1626454592,0.9224120639
22 20 34.8,-13 27 47.4,4327.65882644405,-5708.41954447985,47.503255971759,-0.847001890541236,-0.716198193316815,-7.37516182330355,2017-10-11T21:45:45.054,-39.06558,-0.3005129695,0.179244563,-0.1631809771,0.9224615496
22 07 37.7,-17 27 49.2,1593.10756641075,-368.485388334024,6964.43138310123,4.28510979010989,-5.96905528528877,-1.27924221957009,2017-10-11T23:04:00.054,-38.3783,-0.2803742588,0.2179420143,-0.1780854166,0.9177020964
22 08 1.2,-17 29 8.1,2073.0355374824,-1050.7605583678,6766.67684296267,4.05679436728724,-5.88155901103459,-2.13841851712996,2017-10-11T23:05:55.054,-38.34967,-0.2802789211,0.2178187072,-0.1773145646,0.9179097354
22 08 24.0,-17 30 16.6,2523.29446307728,-1717.99620080863,6471.82420130853,3.77046810511354,-5.70957915585561,-2.96688232538989,2017-10-11T23:07:50.054,-38.32099,-0.2801833749,0.2176952362,-0.1765436083,0.9181167763
22 08 46.8,-17 31 31.3,2937.43661384324,-2360.63831715029,6084.09604672028,3.43009498902551,-5.45579035221756,-3.75286101092026,2017-10-11T23:09:45.054,-38.29228,-0.2800876498,0.217571646,-0.1757725179,0.9183232052
22 09 33.9,-16 48 1.4,4410.27712523028,-5454.06500867252,1452.16265779202,0.0683095149592961,-1.88352808554345,-7.21660295844998,2017-10-11T23:23:00.054,-38.5304,-0.2840977907,0.2116975933,-0.1760855168,0.9184043037
22 09 25.3,-16 35 0.1,4385.92784012667,-5630.2953332974,613.611713916613,-0.481747317445894,-1.19098395463088,-7.34684981898899,2017-10-11T23:24:55.054,-38.54072,-0.2846242189,0.2101101577,-0.1770108938,0.9184279607
22 09 16.9,-16 22 3.2,4298.67553806155,-5725.77755822635,-233.763420547961,-1.02497233927386,-0.481543572850388,-7.371597366324,2017-10-11T23:26:50.054,-38.55089,-0.2851496339,0.2085219622,-0.1779356301,0.9184482507
22 09 8.6,-16 09 3.0,4149.77668299467,-5739.14971535094,-1077.77918763773,-1.55337372821583,0.234575816320991,-7.29028509608994,2017-10-11T23:28:45.054,-38.56091,-0.2856739759,0.2069329917,-0.1788597107,0.9184651982
